episode,intrinsic_contribution,td_abs_mean,learn_calls,gate_advance,gate_neutral,gate_proxy,allowed_intrinsic,suppressed_intrinsic,proxy_penalty_total,proxy_penalty_count
1,2.99247016040487,0.28046208856818833,107,6,101,0,2.99247016040487,40.78099270959463,0.0,0
2,2.9625411623006532,0.28366738703192734,246,6,240,0,2.9625411623006532,46.72144327130788,0.0,0
3,2.9131000366929647,0.24237115137899914,96,6,90,0,2.9131000366929647,30.69983764378272,0.0,0
4,2.855693541428011,0.2380029912505831,105,6,99,0,2.855693541428011,29.290510506477705,0.0,0
5,2.7905073150933717,0.22563993171291444,103,6,97,0,2.7905073150933717,26.56081876048367,0.0,0
6,2.7232294564339785,0.21337257054719058,88,6,82,0,2.7232294564339785,24.394639162391947,0.0,0
7,2.6545350518180304,0.2218866816908121,100,6,94,0,2.6545350518180304,24.06892697912777,0.0,0
8,2.587783937446497,0.20528057488528165,88,6,82,0,2.587783937446497,22.62286644420366,0.0,0
9,2.522164541733923,0.24509001819832812,103,6,97,0,2.522164541733923,22.966444012716586,0.0,0
10,2.459913148334856,0.2446765856008337,99,6,93,0,2.459913148334856,21.24981140616328,0.0,0
11,2.3996699895478524,0.186359745139877,276,6,270,0,2.3996699895478524,27.052100008688413,0.0,0
12,2.343092839021629,0.15419676275265337,99,6,93,0,2.343092839021629,19.711709318114,0.0,0
13,-48.36711995170084,0.15679716351239578,276,4,247,25,1.5177650683475439,68.13819693687694,49.88488502004839,25
14,2.2532883649915787,0.1677572586226697,102,6,96,0,2.2532883649915787,19.211861936624175,0.0,0
15,2.203887725606932,0.16970221582546974,103,6,97,0,2.203887725606932,18.84065140662217,0.0,0
16,2.1576366707663155,0.19827878583168637,276,6,270,0,2.1576366707663155,23.251128381841763,0.0,0
17,1.7634394076375104,0.14342712948395722,276,5,271,0,1.7634394076375104,38.32999775772493,0.0,0
18,2.0784472768976596,0.1309314738635136,276,6,270,0,2.0784472768976596,23.529039621316286,0.0,0
19,2.0375958913278174,0.12214983835816383,100,6,94,0,2.0375958913278174,17.13535794268394,0.0,0
20,1.9985611993535823,0.1729664916469567,276,6,270,0,1.9985611993535823,21.755068959877693,0.0,0
21,1.9607300586046754,0.15495435783737585,95,6,89,0,1.9607300586046754,17.455843175558265,0.0,0
22,1.93669714093502,0.12706012670220673,276,6,270,0,1.93669714093502,20.787520990514817,0.0,0
23,1.902040104925119,0.11894322632123595,276,6,270,0,1.902040104925119,20.70287798836375,0.0,0
24,1.8687588445113439,0.11611884985571709,107,6,101,0,1.8687588445113439,17.454192515666424,0.0,0
25,1.8369987178339136,0.1687120232137217,276,6,270,0,1.8369987178339136,20.210197237465195,0.0,0
26,1.1919112716508806,0.1368030714330034,276,4,272,0,1.1919112716508806,51.50210899453019,0.0,0
27,1.173764887816149,0.11329948880534241,276,4,272,0,1.173764887816149,18.408492437472578,0.0,0
28,1.7695479405963443,0.12936397374648115,276,6,270,0,1.7695479405963443,30.363137470800275,0.0,0
29,1.4544277809007864,0.14887375902870428,276,5,271,0,1.4544277809007864,67.94922421899065,0.0,0
30,1.7199778706877997,0.11598119585086471,276,6,270,0,1.7199778706877997,20.60577895600582,0.0,0
31,1.6945775715171898,0.10500294052892262,99,6,93,0,1.6945775715171898,13.593415109489548,0.0,0
32,1.6699777388840058,0.10334076428586997,103,6,97,0,1.6699777388840058,13.933158826601312,0.0,0
33,1.6462901961233525,0.13782712500002506,276,6,270,0,1.6462901961233525,19.519126539371246,0.0,0
34,1.623346406541767,0.16320819451528437,102,6,96,0,1.623346406541767,13.33064283218733,0.0,0
35,1.600801141442684,0.13823731598055478,103,6,97,0,1.600801141442684,13.461395337825307,0.0,0
36,1.578128709475161,0.16261156146463596,95,6,89,0,1.578128709475161,14.315844945228944,0.0,0
37,1.0298329616049986,0.11590098141544107,276,4,272,0,1.0298329616049986,20.397911746882503,0.0,0
38,1.554396575700264,0.09724895734536021,95,6,89,0,1.554396575700264,13.946985441376617,0.0,0
39,1.5435950737810107,0.08814484317025001,88,6,82,0,1.5435950737810107,12.269033291699118,0.0,0
40,1.5200346871284611,0.09755212422272172,99,6,93,0,1.5200346871284611,12.371976978407016,0.0,0
41,1.4971885313263413,0.1559210609698641,276,6,270,0,1.4971885313263413,17.344664961516862,0.0,0
42,1.4749526123777295,0.1234139060412628,276,6,270,0,1.4749526123777295,16.866133024267995,0.0,0
43,1.4531433947909513,0.10905769556436849,276,6,270,0,1.4531433947909513,18.244590373799625,0.0,0
44,1.4318898276308725,0.11022430716379397,276,6,270,0,1.4318898276308725,17.885683529403593,0.0,0
45,1.411147091906328,0.15821071653956115,99,6,93,0,1.411147091906328,11.953391195689479,0.0,0
46,1.3901749367927492,0.14840244046951595,95,6,89,0,1.3901749367927492,13.247539614446485,0.0,0
47,1.3813466262381493,0.12554945208524404,95,6,89,0,1.3813466262381493,13.049690629162317,0.0,0
48,1.372426714070668,0.10754140075838682,103,6,97,0,1.372426714070668,12.159888077519874,0.0,0
49,1.3504559129400422,0.09922378961050855,276,6,270,0,1.3504559129400422,16.02116793364003,0.0,0
50,1.329468649351245,0.10111910469830036,100,6,94,0,1.329468649351245,11.72160735869243,0.0,0
51,1.3096437447054718,0.11901192743655133,276,6,270,0,1.3096437447054718,15.833606557490976,0.0,0
52,1.2908936933341977,0.12800407709310885,276,6,270,0,1.2908936933341977,16.09153931715618,0.0,0
53,1.2833075347045582,0.09613826546338525,202,6,196,0,1.2833075347045582,16.26751120347421,0.0,0
54,1.2758032600027174,0.09629256991963638,95,6,89,0,1.2758032600027174,12.275483808117526,0.0,0
55,1.268912858953442,0.09502677069130269,88,6,82,0,1.268912858953442,10.781320590354161,0.0,0
56,1.249097908252339,0.09386422206586767,107,6,101,0,1.249097908252339,12.731601037600099,0.0,0
57,1.2306477324365268,0.12932777839402357,276,6,270,0,1.2306477324365268,15.521105964327695,0.0,0
58,1.2130155166207697,0.12429207268481453,96,6,90,0,1.2130155166207697,12.12277322990716,0.0,0
59,0.8225898728083607,0.11135326115333516,276,4,272,0,0.8225898728083607,33.652424250658555,0.0,0
60,1.1948921636018732,0.09548342929166906,102,6,96,0,1.1948921636018732,10.80315545305092,0.0,0
61,1.1716623733527967,0.09270138583685222,95,6,89,0,1.1716623733527967,11.21106138666132,0.0,0
62,1.1639691266183179,0.09328027340498837,88,6,82,0,1.1639691266183179,10.257935979761166,0.0,0
63,1.1446833600972077,0.09233528773554346,88,6,82,0,1.1446833600972077,10.194953796263402,0.0,0
64,1.127839063192573,0.12580592934366153,276,6,270,0,1.127839063192573,14.725204451240282,0.0,0
65,1.1129445366085002,0.11166536378795686,276,6,270,0,1.1129445366085002,14.954706247270831,0.0,0
66,1.0998773511057087,0.09138397244817537,276,6,270,0,1.0998773511057087,16.01883745711128,0.0,0
67,1.0881571603436573,0.08102557864040136,100,6,94,0,1.0881571603436573,10.501069793630387,0.0,0
